Name,DNS Domain,Type,Status,IP Address,D Operating System,D Host Domain
fenappfind02,,Windows,De-Installed,172.19.15.26,Windows 2003 R2,us.maritz.net
fenappfind04,,Windows,In Use,172.19.15.28,Windows 2008 R2,us.maritz.net
fenappfinp02,us.maritz.net,Windows,In Use,172.19.15.20,Windows 2003 R2,
fenappfinp02-old,,Windows,De-Installed,172.19.15.20,Windows 2003 R2,us.maritz.net
fenappfinp03,,Windows,In Use,172.19.15.24,Windows 2008 R2,us.maritz.net
fenappfinp04,,Windows,In Use,156.45.55.113,Windows 2008 R2,us.maritz.net
fenappfinp05,,Windows,In Use,172.19.15.21,Windows 2008 R2,us.maritz.net
fenappgateway01,,Windows,In Use,172.19.23.27,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappiexp01,,Windows,In Use,172.18.6.11,Windows 2008 R2,us.maritz.net
fenapplawp01,,Windows,In Use,156.45.50.72,Windows 2003,us.maritz.net
fenappmgd02,,Windows,Installed,156.45.66.58,Windows 2008 R2,us.maritz.net
fenappmgp01,,Windows,In Use,172.19.7.30,Windows 2008 R2,us.maritz.net
fenappmgp03,,Windows,In Use,172.19.1.249,,
fenappmgp04,,Windows,In Use,156.45.69.249,Windows 2008 R2,mpne.local
fenappmgp05,,Windows,In Use,172.19.13.249,Windows 2008 R2,mneti.local
fenappmgp06,,Windows,In Use,156.45.59.119,Windows 2008 R2,mnete.local
fenappmgp07,,Windows,In Use,156.45.55.249,Windows 2008 R2,us.maritz.net
fenappmgp08,,Windows,In Use,10.99.13.249,Windows 2008 R2,mpn.local
fenappmgp09,,Windows,In Use,192.168.239.249,Windows 2008 R2,mpni.local
fenappmgp10,,Appliance,In Use,156.45.54.40,,
fenappmgp11,,Windows,Installed,172.19.8.61,Windows Server 2012 Standard,us.maritz.net
fenappmgp12,,Windows,Installed,172.19.8.62,Windows Server 2012 Standard,us.maritz.net
fenappmgp13,,Windows,In Use,172.19.8.63,Windows Server 2012 Standard,us.maritz.net
fenappmgp14,,Windows,In Use,156.45.55.121,Windows 2008 R2,us.maritz.net
fenappmgp16,,Windows,In Use,172.19.8.35,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmgp17,,Windows,In Use,172.19.8.42,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmgp18,,Windows,In Use,156.45.55.20,Windows 2008 R2,us.maritz.net
fenappmgp19,,Windows,Installed,156.45.55.127,Windows 2008 R2,us.maritz.net
fenappmgp20,,Windows,In Use,156.45.55.241,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmgp21,,Windows,In Use,172.19.13.241,,
fenappmgts01,,Windows,In Use,156.45.50.69,Windows 2003,us.maritz.net
fenappmgtsp01,,Windows,In Use,156.45.50.142,Windows 2008 R2,us.maritz.net
fenappmgtsp06,,Windows,In Use,156.45.50.39,Windows 2008 R2,us.maritz.net
fenappmgtsp801v,,Windows,In Use,156.45.55.201,Windows 2003,us.maritz.net
fenappmlmp02,,Windows,In Use,156.45.50.99,Windows 2003,us.maritz.net
fenappmlmp04,,Windows,Installed,172.17.3.133,Windows Server 2012 R2 Standard R2,mpn.local
fenappmlms02,,Windows,In Use,172.18.2.91,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmlp02,,Windows,In Use,156.45.54.194,Windows 2003,us.maritz.net
fenappmmd02,,Windows,In Use,156.45.66.13,Windows 2003,us.maritz.net
fenappmmd03,,Windows,Build/Rebuild,156.45.66.63,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmmp01,,Windows,In Use,156.45.55.46,Windows 2003,us.maritz.net
fenappmmp02,,Windows,In Use,156.45.54.13,Windows 2003,us.maritz.net
fenappmmp03,,Windows,In Use,156.45.69.35,Windows 2008 R2,mpne.local
fenappmmp04,,Windows,Build/Rebuild,156.45.66.68,,
fenappmpcd03,,Windows,To Be Disposed - AM,156.45.66.68,Windows 2003,us.maritz.net
fenappmrp01,,Windows,In Use,156.45.54.179,Windows 2003,us.maritz.net
fenappmrp03,,Windows,In Use,10.255.77.51,Windows 2008 R2,us.maritz.net
fenappmrp04,,Windows,In Use,156.45.59.72,Windows 2008 R2,mnete.local
fenappmrp05,,Windows,In Use,172.19.23.83,Windows 2008 R2,us.maritz.net
fenappmrp06,,Windows,In Use,172.19.23.84,Windows 2008 R2,us.maritz.net
fenappmrp07,,Windows,Build/Rebuild,156.45.54.182,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappmrp801v,,Windows,In Use,156.45.55.185,Windows 2003,us.maritz.net
fenappmsapvp03,,Windows,In Use,156.45.55.145,Windows 2008 R2,us.maritz.net
fenappmsapvp04,,Windows,In Use,156.45.55.134,Windows 2008 R2,us.maritz.net
fenappmsapvs01,,Windows,In Use,156.45.55.202,Windows 2008 R2,us.maritz.net
fenappmskmsp01,,Windows,In Use,156.45.65.85,Windows 2008 R2,us.maritz.net
fenappnicep01,,Windows,In Use,172.18.6.62,Windows 2003 R2,us.maritz.net
fenappnicep02,,Windows,In Use,172.18.6.63,Windows 2003 R2,us.maritz.net
fenappnicep03,,Windows,In Use,172.18.6.64,Windows 2008 R2,us.maritz.net
fenappnicep04,,Windows,In Use,172.18.6.65,Windows 2008 R2,us.maritz.net
fenappnmsp01,,Windows,In Use,172.19.7.35,Windows 2008 R2,us.maritz.net
fenappnmsp02,,Windows,In Use,156.45.55.6,Windows 2008 R2,us.maritz.net
fenappnmsp03,,Windows,In Use,172.19.7.38,Windows 2008 R2,us.maritz.net
fenappnmsp04,,Windows,In Use,156.45.55.25,Windows Server 2012 R2 Standard R2,us.maritz.net
fenappnoc04,,Windows,In Use,156.45.55.39,Windows 2008 R2,us.maritz.net
fenappowap01,,Windows,In Use,156.45.50.102,Windows 2003,us.maritz.net
