"name","dns_domain","u_type","install_status","ip_address","u_d_operating_system","os_domain"
"fensqlmlms17","","Windows","Decommissioned","156.45.50.180","Windows 2003","us.maritz.net"
"fensqlmlms21","","Windows","In Use","172.19.6.14","Windows 2008 R2","us.maritz.net"
"fensqlmlp07","","Windows","In Use","156.45.54.96","Windows 2003","us.maritz.net"
"fensqlmmd02","","Windows","In Use","172.19.2.37","Windows 2008 R2","us.maritz.net"
"fensqlmmd03","","Windows","In Use","172.19.2.40","Windows 2008 R2","us.maritz.net"
"fensqlmmd04","","Windows","In Use","172.19.2.27","Windows 2008 R2","us.maritz.net"
"fensqlmmd06","","Windows","In Use","172.19.2.45","Windows 2008 R2","us.maritz.net"
"fensqlmmd07","","Windows","In Use","172.19.2.47","Windows 2008 R2","us.maritz.net"
"fensqlmmd08","","Windows","In Use","172.19.2.48","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlmmd09","","Windows","In Use","172.19.2.49","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlmmd10","","Windows","In Use","156.45.50.153","Windows 2003","us.maritz.net"
"fensqlmmd11","","Windows","In Use","172.19.2.52","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlmmd12","","Windows","Retired","172.19.2.42","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlmmp03","","Windows","In Use","172.19.6.64","Windows 2008 R2","us.maritz.net"
"fensqlmmp04","","Windows","In Use","172.19.6.59","Windows 2008 R2","us.maritz.net"
